id,sembol,tf,tarih,giris,giris_fiili,stop,t1,t2,son_fiyat,getiri_pct,durum,R,gun,mfe,mae,son_tarih,v
2026-08-12_DOCO_gunluk,DOCO,gunluk,2026-08-12,11420.0,11435.0,10805.85,12341.22,12648.3,11510.0,0.66,ACIK,0.12,5,0.58,-0.16,2026-08-19,3
2026-08-12_GESAN_gunluk,GESAN,gunluk,2026-08-12,81.8,82.35,77.79,87.81,89.82,83.15,0.97,ACIK,0.18,5,0.86,-0.3,2026-08-19,3
2026-08-12_KCHOL_gunluk,KCHOL,gunluk,2026-08-12,205.8,207.0,190.7,228.45,236.0,214.6,3.67,ACIK,0.47,5,0.48,-0.32,2026-08-19,3
2026-08-12_DAGI_gunluk,DAGI,gunluk,2026-08-12,9.71,9.7,8.62,11.34,11.88,10.19,5.05,ACIK,0.45,5,0.53,-0.1,2026-08-19,3
2026-08-12_MANAS_gunluk,MANAS,gunluk,2026-08-12,31.1,31.08,28.88,34.43,35.54,33.78,8.69,T1_ACIK,1.36,5,1.55,-0.01,2026-08-19,3
2026-08-12_ASTOR_gunluk,ASTOR,gunluk,2026-08-12,331.75,341.0,295.79,385.68,403.66,331.5,-2.79,ACIK,-0.21,5,0.27,-0.58,2026-08-19,3
2026-08-12_EUPWR_gunluk,EUPWR,gunluk,2026-08-12,93.6,95.0,87.22,103.17,106.36,92.85,-2.26,ACIK,-0.28,5,0.57,-0.39,2026-08-19,3
2026-08-12_PSDTC_gunluk,PSDTC,gunluk,2026-08-12,150.2,153.3,131.32,178.52,187.96,142.0,-7.37,ACIK,-0.51,5,0.35,-0.54,2026-08-19,3
2026-08-13_GMTAS_gunluk,GMTAS,gunluk,2026-08-13,48.02,48.28,45.04,52.48,53.97,45.6,-5.55,ACIK,-0.83,4,0.05,-0.85,2026-08-19,3
2026-08-14_CUSAN_gunluk,CUSAN,gunluk,2026-08-14,25.62,25.64,23.76,28.41,29.34,24.98,-2.57,ACIK,-0.35,3,0.55,-0.6,2026-08-19,3
2026-08-14_BRMEN_haftalik,BRMEN,haftalik,2026-08-14,15.2,15.61,13.3,18.05,19.0,15.98,2.37,ACIK,0.16,3,0.39,-0.27,2026-08-19,3
2026-08-14_TRMET_haftalik,TRMET,haftalik,2026-08-14,126.6,126.3,113.6,146.11,152.61,131.1,3.8,ACIK,0.38,3,0.43,-0.13,2026-08-19,3
2026-08-14_BMSTL_haftalik,BMSTL,haftalik,2026-08-14,46.1,46.78,39.82,55.52,58.66,46.7,-0.17,ACIK,-0.01,3,0.24,-0.14,2026-08-19,3
2026-08-14_ANHYT_haftalik,ANHYT,haftalik,2026-08-14,107.2,107.2,95.73,124.4,130.13,105.0,-2.05,ACIK,-0.19,3,0.15,-0.32,2026-08-19,3
2026-08-14_GOZDE_haftalik,GOZDE,haftalik,2026-08-14,22.72,22.72,21.72,24.22,24.72,22.78,0.26,ACIK,0.06,3,0.34,-0.9,2026-08-19,3
2026-08-14_ENJSA_haftalik,ENJSA,haftalik,2026-08-14,106.2,106.2,95.32,122.53,127.97,111.0,4.52,ACIK,0.44,3,0.6,-0.17,2026-08-19,3
2026-08-14_MPARK_haftalik,MPARK,haftalik,2026-08-14,438.25,440.25,390.06,510.54,534.63,442.75,0.57,ACIK,0.05,3,0.11,-0.19,2026-08-19,3
2026-08-14_PRDGS_haftalik,PRDGS,haftalik,2026-08-14,7.45,7.48,6.5,8.87,9.34,8.18,9.36,ACIK,0.71,3,1.24,-0.04,2026-08-19,3
2026-08-14_AYGAZ_haftalik,AYGAZ,haftalik,2026-08-14,312.0,312.0,216.51,455.23,502.97,326.5,4.65,ACIK,0.15,3,0.19,-0.06,2026-08-19,3
2026-08-17_GLYHO_gunluk,GLYHO,gunluk,2026-08-17,17.52,17.41,16.78,18.63,19.0,17.08,-1.9,ACIK,-0.52,2,0.03,-0.78,2026-08-19,3
2026-08-18_AKSGY_gunluk,AKSGY,gunluk,2026-08-18,9.96,10.02,9.32,10.93,11.25,10.05,0.3,ACIK,0.04,1,0.3,-0.17,2026-08-19,3
2026-08-18_ESCOM_gunluk,ESCOM,gunluk,2026-08-18,5.87,5.89,5.49,6.43,6.62,5.86,-0.51,ACIK,-0.07,1,0.08,-0.2,2026-08-19,3
2026-08-18_BINHO_gunluk,BINHO,gunluk,2026-08-18,10.07,10.09,9.55,10.84,11.1,10.38,2.87,ACIK,0.54,1,0.8,-0.44,2026-08-19,3
2026-08-18_ULUSE_gunluk,ULUSE,gunluk,2026-08-18,309.5,297.0,274.97,361.29,378.55,284.75,-4.12,ACIK,-0.56,1,0.39,-0.58,2026-08-19,3
